datetime,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote
2020-09-19 23:00:00,327.16000000,327.91000000,325.78000000,326.91000000,142.68134000,1600552799999,46627.35876790,97,119.28672000,38985.43091060
2020-09-20 00:00:00,326.27000000,326.52000000,325.29000000,326.50000000,8.53087000,1600556399999,2780.92038800,26,7.52294000,2452.57805730
2020-09-20 01:00:00,325.73000000,327.60000000,325.73000000,326.41000000,11.76501000,1600559999999,3839.35518660,17,2.41586000,790.78893720
2020-09-20 02:00:00,326.23000000,326.23000000,325.57000000,325.84000000,6.13171000,1600563599999,1998.38610480,15,3.94101000,1284.02944260
2020-09-20 03:00:00,325.29000000,325.29000000,322.42000000,323.30000000,19.02609000,1600567199999,6155.06373890,64,4.20480000,1361.66229820
2020-09-20 04:00:00,323.06000000,323.64000000,322.41000000,323.17000000,18.23653000,1600570799999,5888.82591310,35,5.07659000,1640.95925740
2020-09-20 05:00:00,322.50000000,323.98000000,322.10000000,323.98000000,6.35712000,1600574399999,2051.58288520,12,3.39113000,1096.10053180
2020-09-20 06:00:00,323.98000000,324.26000000,323.98000000,324.26000000,5.99547000,1600577999999,1944.04292540,10,5.99547000,1944.04292540
2020-09-20 07:00:00,323.50000000,323.77000000,323.06000000,323.10000000,17.18902000,1600581599999,5559.58399550,11,15.75860000,5097.36005200
2020-09-20 08:00:00,323.06000000,323.71000000,322.52000000,323.71000000,19.69385000,1600585199999,6357.70096780,23,3.89028000,1257.76522290
2020-09-20 09:00:00,323.91000000,324.31000000,323.38000000,323.38000000,21.69547000,1600588799999,7023.48361930,36,15.08013000,4881.40777780
2020-09-20 10:00:00,323.34000000,324.26000000,322.50000000,322.76000000,31.23056000,1600592399999,10101.83161600,57,22.39803000,7245.66645000
2020-09-20 11:00:00,322.76000000,323.14000000,321.06000000,322.77000000,76.46882000,1600595999999,24621.84334470,99,65.94303000,21235.00819530
2020-09-20 12:00:00,323.14000000,323.70000000,321.95000000,323.54000000,41.01460000,1600599599999,13243.25668010,51,30.31147000,9794.43314910
2020-09-20 13:00:00,323.47000000,323.65000000,321.97000000,321.97000000,17.85556000,1600603199999,5772.06660750,33,9.28554000,3000.55786840
2020-09-20 14:00:00,321.95000000,322.51000000,314.87000000,316.45000000,306.05955000,1600606799999,97150.38174290,361,135.46180000,42888.90041120
2020-09-20 15:00:00,315.93000000,317.56000000,314.74000000,316.63000000,84.21989000,1600610399999,26645.94818950,120,47.03649000,14889.35686170
2020-09-20 16:00:00,316.93000000,317.53000000,315.99000000,316.48000000,44.89268000,1600613999999,14214.23623260,79,21.37127000,6770.30789540
2020-09-20 17:00:00,315.98000000,316.62000000,314.81000000,314.81000000,59.66616000,1600617599999,18837.26262040,82,19.75012000,6243.76394480
2020-09-20 18:00:00,314.68000000,315.17000000,310.00000000,314.47000000,281.75264000,1600621199999,88071.49222880,288,153.57301000,48014.00421090
2020-09-20 19:00:00,314.57000000,316.80000000,314.28000000,316.53000000,128.91825000,1600624799999,40668.80681870,146,73.46265000,23211.55357280
2020-09-20 20:00:00,316.53000000,316.83000000,314.82000000,316.60000000,29.94360000,1600628399999,9454.58046710,87,15.26176000,4820.95587710
2020-09-20 21:00:00,316.12000000,316.94000000,314.55000000,314.55000000,44.45851000,1600631999999,14040.57040120,98,22.12003000,6987.89843330
2020-09-20 22:00:00,314.33000000,314.75000000,312.66000000,313.68000000,77.17588000,1600635599999,24210.72762550,117,25.47332000,7991.95002610
2020-09-20 23:00:00,313.19000000,314.63000000,311.00000000,314.50000000,97.96933000,1600639199999,30694.41405240,146,50.83786000,15933.33908350
2020-09-21 00:00:00,314.36000000,314.73000000,310.78000000,312.90000000,222.68819000,1600642799999,69560.02124340,146,116.21526000,36355.16245560
2020-09-21 01:00:00,313.51000000,316.20000000,313.51000000,314.28000000,103.89775000,1600646399999,32744.70440860,94,79.90514000,25188.89764150
2020-09-21 02:00:00,314.28000000,319.12000000,312.90000000,318.44000000,44.35472000,1600649999999,14066.46561460,99,23.79058000,7540.55084730
2020-09-21 03:00:00,317.71000000,318.71000000,316.69000000,317.34000000,11.17091000,1600653599999,3547.12741680,33,7.90673000,2511.46393250
2020-09-21 04:00:00,317.64000000,317.89000000,316.72000000,316.72000000,0.56278000,1600657199999,178.60835560,5,0.33470000,106.37085800
2020-09-21 05:00:00,316.45000000,317.62000000,316.18000000,317.53000000,3.41535000,1600660799999,1083.64058230,14,2.87269000,911.97738530
2020-09-21 06:00:00,317.37000000,318.04000000,316.72000000,317.27000000,6.30656000,1600664399999,2002.02956790,23,3.30727000,1050.37734950
2020-09-21 07:00:00,316.72000000,317.64000000,315.77000000,317.64000000,30.07619000,1600667999999,9510.94871500,29,1.83993000,584.04073090
2020-09-21 08:00:00,317.23000000,318.41000000,315.31000000,316.19000000,115.39203000,1600671599999,36472.43803990,120,17.08729000,5426.66484620
2020-09-21 09:00:00,316.53000000,317.00000000,313.90000000,313.90000000,69.48488000,1600675199999,21915.46995020,82,23.38248000,7376.79802810
2020-09-21 10:00:00,314.30000000,314.54000000,311.58000000,313.55000000,105.26227000,1600678799999,32935.00068760,179,78.25563000,24497.87807390
2020-09-21 11:00:00,313.00000000,313.42000000,304.84000000,306.26000000,470.74136000,1600682399999,145248.34792220,393,65.56371000,20268.13467850
2020-09-21 12:00:00,305.47000000,307.15000000,302.00000000,303.45000000,318.99568000,1600685999999,97033.38750830,402,158.60694000,48285.11107010
2020-09-21 13:00:00,302.85000000,305.42000000,297.40000000,300.30000000,563.44816000,1600689599999,169669.78694550,433,235.39482000,70845.42561470
2020-09-21 14:00:00,299.38000000,299.38000000,290.00000000,295.04000000,493.65602000,1600693199999,145217.46482800,395,298.99541000,88017.70611650
2020-09-21 15:00:00,294.42000000,298.86000000,294.42000000,296.06000000,344.68428000,1600696799999,102420.31465710,273,166.82323000,49562.89667360
2020-09-21 16:00:00,295.80000000,296.44000000,283.60000000,289.02000000,515.57647000,1600700399999,148623.35124580,407,259.40800000,74699.29284450
2020-09-21 17:00:00,288.75000000,292.12000000,287.76000000,291.20000000,294.82271000,1600703999999,85483.61127120,284,137.49553000,39899.92696550
2020-09-21 18:00:00,290.50000000,293.77000000,288.46000000,290.11000000,165.49594000,1600707599999,48288.21699080,177,72.61987000,21230.22484480
2020-09-21 19:00:00,290.25000000,293.46000000,289.68000000,291.86000000,215.23615000,1600711199999,62815.44909010,179,105.75372000,30928.03539090
2020-09-21 20:00:00,292.05000000,292.73000000,289.83000000,292.38000000,175.96663000,1600714799999,51277.83736580,177,91.43253000,26704.08428790
2020-09-21 21:00:00,292.38000000,295.49000000,292.00000000,294.33000000,453.23720000,1600718399999,133475.03542180,274,191.13034000,56305.98028470
2020-09-21 22:00:00,294.36000000,298.45000000,294.33000000,295.69000000,135.63891000,1600721999999,40202.13137320,174,34.29517000,10187.81715810
2020-09-21 23:00:00,296.25000000,298.66000000,294.34000000,297.13000000,179.27944000,1600725599999,53001.08794930,141,29.82388000,8863.36648310
2020-09-22 00:00:00,297.21000000,297.21000000,293.45000000,294.26000000,179.53250000,1600729199999,53009.26084310,94,55.42739000,16412.96712750
2020-09-22 01:00:00,293.56000000,294.79000000,290.22000000,290.22000000,38.26349000,1600732799999,11180.08685740,43,11.53530000,3383.23790170
2020-09-22 02:00:00,290.83000000,294.63000000,288.40000000,292.86000000,116.79839000,1600736399999,34088.41101500,106,77.28077000,22621.00738230
2020-09-22 03:00:00,292.66000000,292.71000000,290.80000000,292.31000000,50.22701000,1600739999999,14675.43094870,34,17.36364000,5079.53779640
2020-09-22 04:00:00,292.48000000,294.18000000,292.10000000,294.18000000,33.82417000,1600743599999,9905.25032470,33,10.60884000,3114.06447930
